[2021-12-16 17:25:53.385] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:26:03.387] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:26:13.388] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:26:23.390] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:26:33.391] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:26:43.393] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:26:53.395] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:27:03.397] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:27:13.400] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:27:23.402] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:27:33.403] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:27:43.404] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:27:53.406] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:28:03.408] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:28:13.408] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:28:23.410] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:28:33.411] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:28:43.413] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:28:53.415] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:29:03.416] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:29:13.418] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:29:23.419] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:29:33.421] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:29:43.421] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:29:53.424] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:30:03.425] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:30:13.427] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:30:23.429] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:30:33.431] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:30:43.433] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:30:53.435] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:31:03.437] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:31:13.438] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:31:23.440] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:31:33.442] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:31:43.444] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:31:53.445] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:32:03.447] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:32:13.449] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:32:23.451] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:32:33.453] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:32:43.455] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:32:53.458] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:33:03.460] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:33:13.460] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:33:23.463] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:33:33.465] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:33:43.467] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:33:53.468] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:34:03.470] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:34:13.472] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:34:23.474] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:34:33.477] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:34:43.478] [error] mpd: Failed to connect to MPD: Connection refused
